  30 07 35 37.2473 -75 32 39.378 Gaia DR3 5214209564293214208 HD  62364                        HIP 36941   7.20   7.31   6.00  0.530 0.689 18.88 F7V             1.197 5p  35 9 0.237 1.461 0.158 0.070 0.080 0.193 0.0e+00    4.8 13.2 2.23  42.10                   0 2
  31 11 11 43.4165 +58 53 59.793 Gaia DR3  857735587834080640 HD  97140                        HIP 54687   7.22   7.36   5.93  0.626 0.767 12.99 G0              1.315 5p  54 9 0.181 1.218 0.155 0.072 0.076 0.116 5.1e-03    2.8 12.4 2.30  29.88                   0 0
  32 14 46 16.3648 +03 30 13.694 Gaia DR3 1157737335472646016 HD 130125                        HIP 72223   7.26   7.38   6.07  0.560 0.710 24.50 F7/8V           1.071 5p  20 9 0.185 1.486 0.157 0.073 0.072 0.185 3.0e-04    3.6  9.1 2.15  52.64                   0 0
  33 11 40 36.5675 -08 24 20.581 Gaia DR3 3591819100253606784 HD 101472                        HIP 56960   7.30   7.40   6.14  0.530 0.688 23.16 F7V             1.083 5p  34 9 0.258 1.569 0.158 0.074 0.077 0.211 0.0e+00    5.4 11.0 2.16  49.95                   3 0
  34 00 40 24.5476 -07 39 25.482 Gaia DR3 2523208078545561088 HD   3770                        HIP 3169    7.30   7.43   6.05  0.560 0.722 15.25 F8V             1.184 5p  45 9 0.196 1.252 0.157 0.075 0.079 0.136 1.2e-03    3.2 11.5 2.22  33.88                   0 0
  35 01 22 43.3426 +10 22 08.931 Gaia DR3 2579398139245536768 HD   8331                        HIP 6442    7.31   7.48   5.85  0.670 0.842 17.40 G5              1.091 5p  39 9 0.281 1.502 0.152 0.075 0.076 0.192 0.0e+00    5.3 13.4 2.16  37.62                   0 0
  36 10 09 31.5249 -32 50 47.393 Gaia DR3 5459288266585131776 HD  88201                        HIP 49767   7.32   7.44   6.12  0.560 0.711 23.05 G0V             1.065 5p  58 9 0.235 1.521 0.157 0.075 0.071 0.183 0.0e+00    5.7  9.5 2.14  49.43                   1 0
  37 06 38 36.6144 +40 20 08.168 Gaia DR3  957207580165891072 HD  47047                                    7.33          5.61        0.986 15.50 K0              1.260 5p  20 9 0.183 1.305 0.151 0.077 0.073 0.148 4.9e-03    2.8 12.8 2.27  35.15 WDS J06386+4020A  0 0
  38 04 45 37.8399 -50 04 32.534 Gaia DR3 4784805056230587392 HD  30501                        HIP 22122   7.35   7.59   5.53  0.886 1.053 49.18 K2V             0.792 5p  36 9 0.261 1.537 0.151 0.077 0.078 0.201 0.0e+00    5.6  4.0 1.94  95.55                   0 0
  39 02 48 09.4858 +27 04 05.202 Gaia DR3  114832620743735808 HD  17382                        HIP 13081   7.38          5.61        1.004 43.57 K2              0.810 5p  22 9 0.385 2.239 0.151 0.079 0.072 0.330 0.0e+00 9999.0  7.6 1.96  85.29 WDS J02482+2704A  1 0
  40 11 02 30.5429 +55 01 44.438 Gaia DR3  855717880917133568 HD  95547                        HIP 53974   7.40   7.51   6.31  0.430 0.613 12.75 F8Vw            1.389 5p  54 9 0.193 1.226 0.161 0.078 0.074 0.120 5.5e-03    2.8 13.5 2.34  29.88                   0 0
  41 00 37 57.1647 +47 24 26.449 Gaia DR3  390077936372822912 HD   3454                        HIP 2981    7.41   7.53   6.22  0.470 0.663 22.12 F5              1.135 5p  58 9 0.208 1.347 0.158 0.078 0.073 0.150 3.0e-05    4.2  8.5 2.19  48.46                   0 0
  42 12 48 51.8316 -68 25 28.748 Gaia DR3 5855730584310531200 HD 111232                        HIP 62534   7.42   7.61   5.90  0.680 0.879 34.61 G8VFe-1.0       0.897 5p  45 9 0.209 1.244 0.152 0.080 0.081 0.140 3.6e-04    3.6  4.3 2.03  70.09                   1 2
  43 07 38 51.5831 -05 27 57.992 Gaia DR3 3056203899255907328 HD  61383                        HIP 37233   7.42   7.57   5.97  0.610 0.808 18.82 G3V             1.019 5p  43 9 0.191 1.246 0.153 0.080 0.076 0.130 2.3e-03    3.0  8.0 2.11  39.77                   0 0
  44 01 29 05.4251 +21 43 20.462 Gaia DR3  288781167053300480 V* EO Psc                        HIP 6917    7.43   7.70   5.37  0.985 1.179 42.95 K2.5V           0.820 5p  34 9 0.555 3.002 0.150 0.081 0.074 0.467 0.0e+00 9999.0 11.0 1.97  84.41 WDS J01291+2143A  0 0
  45 11 39 00.6412 +06 03 26.531 Gaia DR3 3909362834358280576 HD 101242                        HIP 56832   7.45          6.04        0.822 28.91 G5              0.936 5p  24 9 0.162 1.266 0.153 0.081 0.076 0.142 5.1e-03    2.8  5.4 2.05  59.39                   0 0
  46 22 53 16.2288 -63 45 54.415 Gaia DR3 6394104185072385920 HD 216316                        HIP 113019  7.47   7.60   6.20  0.560 0.732 12.44 F8/G0V          1.261 5p  54 9 0.178 1.221 0.156 0.081 0.075 0.119 3.9e-03    2.9 12.9 2.27  28.23                   0 0
  47 03 23 25.0632 -14 52 32.127 Gaia DR3 5107056177570786048 HD  21064                        HIP 15784   7.47   7.59   6.15  0.600 0.761 19.07 G1V             1.028 5p  31 9 0.209 1.282 0.155 0.081 0.074 0.140 3.1e-03    3.0  8.6 2.12  40.43                   0 0
  48 21 09 19.1560 -03 53 32.262 Gaia DR3 6912756155040419584 HD 201378                        HIP 104435  7.49   7.62   6.17  0.600 0.770 16.56 F7V             1.077 5p  27 9 0.227 1.371 0.155 0.082 0.077 0.169 2.3e-04    3.7 12.3 2.15  35.64                   2 0
  49 21 36 53.2111 +05 48 51.610 Gaia DR3 2699514836778244992 HD 205702                        HIP 106707  7.49   7.62   6.24  0.550 0.725 17.71 F8              1.079 5p  57 9 0.131 1.201 0.156 0.082 0.075 0.114 6.0e-03    2.7  7.8 2.15  38.14                   0 0
  50 02 45 41.2666 -38 09 27.288 Gaia DR3 4952547993272939008 HD  17322                        HIP 12889   7.49   7.63   6.18  0.580 0.748 19.51 G0V             1.032 5p  59 9 0.254 1.500 0.155 0.082 0.077 0.194 0.0e+00    6.4 11.7 2.12  41.40                   2 0
  51 04 24 50.5918 -50 37 22.180 Gaia DR3 4781553628548774656 HD  28254                        HIP 20606   7.51   7.68   6.01  0.755 0.889 18.12 G5V             1.000 5p  32 9 0.235 1.509 0.152 0.083 0.077 0.193 0.0e+00    5.0 12.3 2.10  38.06 WDS J04248-5037A  0 1
  52 03 36 02.8262 +16 27 58.009 Gaia DR3   44197073198840064 HD  22309                        HIP 16788   7.52          6.24        0.744 23.24 G0              1.012 5p  23 9 0.207 1.310 0.155 0.083 0.072 0.149 4.2e-03    2.9  7.4 2.11  49.00                   0 0
  53 19 07 32.5236 +30 15 17.826 Gaia DR3 2042389925739687808 V* V478 Lyr                      HIP 93926   7.52          5.74        0.975 36.96 G6V             0.838 5p  53 9 0.174 1.215 0.151 0.084 0.074 0.117 3.9e-03    2.9  3.2 1.98  73.17                   0 0
  54 09 17 55.4083 -03 23 15.121 Gaia DR3 3837451574150437120 HD  80133                        HIP 45621   7.54   7.77   5.72  0.860 1.035 30.98 K1/2V           0.869 5p  42 9 0.241 1.464 0.151 0.085 0.076 0.186 0.0e+00    5.4  6.3 2.00  62.08                   0 0
  55 16 40 56.3327 +21 56 53.467 Gaia DR3 4564397470723536512 HD 150554                        HIP 81662   7.55   7.67         0.570 0.713 21.08 F8              1.064 5p  75 9 0.259 1.586 0.156 0.084 0.072 0.206 0.0e+00    7.7 11.7 2.14  45.20 WDS J16409+2157A  1 0
  56 09 23 46.9152 +20 21 52.606 Gaia DR3  637329067477530368 HD  81040                        HIP 46076   7.57          6.16        0.814 29.06 G0V             0.962 5p  41 9 0.267 1.598 0.153 0.085 0.079 0.221 0.0e+00    6.7  8.5 2.07  60.25                   1 1
  57 10 14 08.5804 +03 08 58.253 Gaia DR3 3835867938104798848 HD  88725                        HIP 50139   7.58   7.73   6.15  0.600 0.808 28.91 G3/5V           0.957 5p  16 9 0.187 1.303 0.153 0.085 0.075 0.160 4.3e-03    2.9  6.2 2.07  59.83                   0 0
  58 16 10 15.6117 +40 33 22.040 Gaia DR3 1380044945793210240 HD 145605                        HIP 79234   7.59   7.72   6.40  0.530 0.691 18.74 F5              1.103 5p  44 9 0.266 1.524 0.156 0.085 0.076 0.204 0.0e+00    5.9 13.3 2.17  40.67                   2 0
  59 05 21 49.7297 +51 29 06.858 Gaia DR3  262176455996527872 HD  34634                        HIP 25052   7.60          6.16        0.830 20.46 F2              0.947 5p  30 9 0.238 1.486 0.152 0.086 0.074 0.191 0.0e+00    4.7 10.4 2.06  42.19                   0 0
  60 04 49 09.5310 -35 04 57.932 Gaia DR3 4867169094309859456 HD  30787                        HIP 22387   7.61   7.73   6.44  0.500 0.674 19.23 F6V             1.120 5p  50 9 0.267 1.519 0.158 0.086 0.076 0.203 0.0e+00    6.2 13.1 2.18  41.93                   2 0
